DT,OP,HIG,LOW,CLS,ID
2022-Jan-03,52.4,52.4,51.7,52
2022-Jan-04,52,52.2,51.8,52
2022-Jan-05,52,52.4,51.7,52
2022-Jan-06,52,52.5,51.9,52.2
2022-Jan-07,52,53.5,51.9,53
2022-Jan-10,53.5,56.5,53.5,55.6
2022-Jan-11,55.9,56,53.9,55.2
2022-Jan-12,55.2,56.1,54.5,55.8
2022-Jan-13,55,55.5,54,55.1
2022-Jan-18,55,55.6,54.5,55
2022-Jan-19,54.5,55.8,54.5,55.1
2022-Jan-20,55,55.3,55,55.1
2022-Jan-21,55,56,55,55.8
2022-Jan-24,56,56.4,55.5,56.1
2022-Jan-25,56.5,56.5,55.6,55.9
2022-Jan-26,55.7,55.9,54.6,54.7
2022-Jan-27,55,55.2,53,54.6
2022-Jan-28,54.4,54.6,53.6,54.3
2022-Jan-31,54.2,54.8,53.5,53.7
2022-Feb-01,53.5,54.8,53.5,53.6
2022-Feb-02,54.8,54.8,53.4,53.5
2022-Feb-03,53.5,54.7,53.3,54
2022-Feb-07,53.7,54,53.3,53.5
2022-Feb-08,53.2,53.7,51.7,52.3
2022-Feb-09,52.5,53.5,51.5,51.7
2022-Feb-10,51.9,52.9,51.4,52.2
2022-Feb-11,52.5,52.9,52,52.7
2022-Feb-14,52.5,54,52.5,53.8
2022-Feb-15,54,54,53,53.2
2022-Feb-17,55.6,56.4,55,56
2022-Feb-18,56.1,56.1,55.4,55.8
2022-Feb-21,56.1,56.2,53.5,54.2
2022-Feb-22,54.5,55.8,53,54.8
2022-Feb-23,54.6,54.9,53,54.5
2022-Feb-24,54.5,54.9,53,53.2
2022-Feb-25,53.1,53.9,52.9,53.6
2022-Feb-28,53.6,55,53.6,54.9
2022-Mar-02,54.7,55,53.9,54.2
2022-Mar-03,54,54.3,53.5,53.6
2022-Mar-04,54,54.7,53.2,54.2
2022-Mar-07,54.9,54.9,54,54
2022-Mar-08,54.6,54.6,53.5,53.5
2022-Mar-09,53,54,52,52.3
2022-Mar-10,53.2,54,52.5,53.7
2022-Mar-11,53.5,54.7,53.1,53.4
2022-Mar-14,54.6,54.6,53.2,53.3
2022-Mar-15,53.3,54,52.2,52.3
2022-Mar-16,53,53.2,51.9,52.2
2022-Mar-18,52.5,53.6,52.3,52.9
2022-Mar-21,53,54,53,53.4
2022-Mar-22,53.1,54.5,52.7,53.2
2022-Mar-23,54,54,53.5,53.8
2022-Mar-24,53.8,53.9,53,53.7
2022-Mar-25,53.7,54,53.2,53.5
2022-Mar-28,53.4,54,52.8,52.9
2022-Mar-29,53,53,51,51.5
2022-Mar-30,51.5,52.5,49.6,51.3
2022-Mar-31,48,48,45.5,45.8
2022-Apr-01,45,45,42,43.3
2022-Apr-04,42,42.9,37.6,39.3
2022-Apr-05,40.9,44.9,40.7,42.9
2022-Apr-06,43,43.4,41.7,42
2022-Apr-07,42,42,40,40.7
2022-Apr-08,41,41,39.5,39.6
2022-Apr-25,39,39,37.6,38.6
2022-Apr-26,36.5,36.5,35,35.3
2022-Apr-27,35,38,35,37.6
2022-Apr-28,37.8,37.8,36.1,37.6
2022-Apr-29,38,38.5,37.6,37.9
2022-May-04,38.8,39.8,37.5,37.8
2022-May-05,38,38,36.7,37.5
2022-May-06,37.5,38,37,37.6
2022-May-09,38,38,35.5,36
2022-May-12,36,37.8,35.8,36.9
2022-May-13,38,39.9,38,38.5
2022-May-17,38.9,41,38.9,39.5
2022-May-18,40.9,40.9,39.2,39.6
2022-May-19,39.9,39.9,38.5,38.9
2022-May-20,39.5,39.5,38.5,38.8
2022-May-23,39,40,38.3,38.9
2022-May-24,39.8,40.2,38.9,39.6
2022-May-25,39.9,39.9,39,39.2
2022-May-26,39.1,39.1,37.5,38.4
2022-May-27,38.7,38.7,37.1,37.7
2022-May-30,38,38,37,37.6
2022-May-31,37.6,37.6,36,36.6
2022-Jun-01,37,37,36,36.3
2022-Jun-02,37.5,37.5,36,36.2
2022-Jun-03,37.5,37.5,35.8,36
2022-Jun-06,35.8,36,34,34.5
2022-Jun-07,34.9,34.9,33.5,33.6
2022-Jun-08,33.6,34.9,33.5,33.6
2022-Jun-09,34,34,33.5,33.9
2022-Jun-10,34.3,34.5,33.8,34
2022-Jun-13,35,35,34,34.7
2022-Jun-15,34.8,34.8,33.5,33.6
2022-Jun-16,34.8,34.8,33.4,33.6
2022-Jun-17,34,34,33,33.2
2022-Jun-20,33.2,33.5,32.7,33
2022-Jun-21,33.5,33.5,32.8,33
2022-Jun-22,33.5,33.5,32.9,33
2022-Jun-23,33.9,33.9,32.8,33
2022-Jun-24,33.9,33.9,32,32.2
2022-Jun-27,33,33,30.6,31.1
2022-Jun-28,31,31,29.9,30
2022-Jun-29,30.1,31.2,29.6,30
2022-Jun-30,31,31,30,30.2
2022-Jul-01,30.5,31.2,30.5,31
2022-Jul-04,30.5,31,29.5,29.7
2022-Jul-05,30,30,28.5,28.6
2022-Jul-06,28.5,29,27.3,27.5
2022-Jul-07,28,28,26.5,26.6
2022-Jul-08,26.5,26.6,26,26.3
